,waktu,windspeed,winddir,temp,rh,pressure,rain,solrad
32,01/01/18 05.20,0,0,32,64.7,1005.7,0,527.4
33,01/01/18 05.30,0,0,30.9,69.3,1005.7,0,208.8
34,01/01/18 05.40,0,0,31,69.3,1005.525,0,360.4
35,01/01/18 05.50,0,0,31.1,69.3,1005.35,0,512
36,01/01/18 06.00,0,0,31.2,69.3,1005.175,0,663.6
37,01/01/18 06.10,0,0,31.3,69.3,1005,0,815.2
38,01/01/18 06.20,0,0,31.6,69.4,1004.8,0,766.7
39,01/01/18 06.30,0,0,31.6,68.6,1004.7,0,715.1
40,01/01/18 06.40,0,0,31.4,69.5,1004.6,0,364.3
41,01/01/18 06.50,0,0,31.15,70.5,1004.35,0,288.7
42,01/01/18 07.00,0,0,30.9,71.5,1004.1,0,213.1
43,01/01/18 07.10,0,0,31.23333333,70.6,1003.833333,0,310.3333333
44,01/01/18 07.20,0,0,31.56666667,69.7,1003.566667,0,407.5666667
45,01/01/18 07.30,0,0,31.9,68.8,1003.3,0,504.8
46,01/01/18 07.40,0,0,33.1,61.8,1003.2,0,366.3
47,01/01/18 07.50,0,0,33.4,57.9,1003,0,497.7
48,01/01/18 08.00,0,0,33.9,53.3,1002.8,0,449.8
49,01/01/18 08.10,0,0,34.4,48.8,1002.7,0,529.3
50,01/01/18 08.20,0,0,34.7,48.4,1002.6,0,490.4
51,01/01/18 08.30,0,0,34.5,47.7,1002.4,0,431.8
52,01/01/18 08.40,0,0,33.8,51.6,1002.5,0,235.9
53,01/01/18 08.50,0,0,33.8,51.8,1002.5,0,334.6
54,01/01/18 09.00,0,0,33.7,52.1,1002.533333,0,316.8333333
55,01/01/18 09.10,0,0,33.6,52.4,1002.566667,0,299.0666667
56,01/01/18 09.20,0,0,33.5,52.7,1002.6,0,281.3
57,01/01/18 09.30,0,176.55,33.4,53.35,1002.65,0,269.3
58,01/01/18 09.40,0,353.1,33.3,54,1002.7,0,257.3
59,01/01/18 09.50,0,176.55,32.95,55.2,1002.85,0,199.95
60,01/01/18 10.00,0,0,32.6,56.4,1003,0,142.6
61,01/01/18 10.10,0,0,32.275,57.675,1003.15,0,116.925
62,01/01/18 10.20,0,0,31.95,58.95,1003.3,0,91.25
63,01/01/18 10.30,0,0,31.625,60.225,1003.45,0,65.575
64,01/01/18 10.40,0,0,31.3,61.5,1003.6,0,39.9
65,01/01/18 10.50,0,0,30.9,63.6,1003.5,0,20.5
66,01/01/18 11.00,0,0,30.6,64.3,1003.8,0,10.4
67,01/01/18 11.10,0.425,65.225,30.4,64.825,1004,0,8.125
68,01/01/18 11.20,0.85,130.45,30.2,65.35,1004.2,0,5.85
69,01/01/18 11.30,1.275,195.675,30,65.875,1004.4,0,3.575
70,01/01/18 11.40,1.7,260.9,29.8,66.4,1004.6,0,1.3
71,01/01/18 11.50,1.9,269.4,29.7,66.5,1004.9,0,2
72,01/01/18 12.00,0.95,307.3,29.65,66.6,1004.9,0,1.8
73,01/01/18 12.10,0,345.2,29.6,66.7,1004.9,0,1.6
74,01/01/18 12.20,0,230.1333333,29.53333333,67,1005.133333,0,1.6
75,01/01/18 12.30,0,115.0666667,29.46666667,67.3,1005.366667,0,1.6
76,01/01/18 12.40,0,0,29.4,67.6,1005.6,0,1.6
77,01/01/18 12.50,0,0,29.4,67.3,1005.8,0,1.1
78,01/01/18 13.00,0,0,29.3,67.2,1006,0,1.35
79,01/01/18 13.10,0,0,29.2,67.1,1006.2,0,1.6
80,01/01/18 13.20,0,0,29.2,66.4,1006.3,0,1.7
81,01/01/18 13.30,0,0,29.1,65.6,1006.4,0,1.2
82,01/01/18 13.40,0.3,310.2,29.1,65.3,1006.4,0,1.9
83,01/01/18 13.50,0.5,341.5,29,65.8,1006.5,0,0.4
84,01/01/18 14.00,0,0,28.9,66.5,1006.7,0,0.5
85,01/01/18 14.10,0.1,350.2,28.9,66.4,1006.6,0,1.4
86,01/01/18 14.20,0.3,341.4,28.8,66.9,1006.7,0,1.4
87,01/01/18 14.30,0.75,330.15,28.75,66.3,1006.9,0,1.65
88,01/01/18 14.40,1.2,318.9,28.7,65.7,1007.1,0,1.9
89,01/01/18 14.50,1.4,291.2,28.6,66.35,1006.95,0,1.45
90,01/01/18 15.00,1.6,263.5,28.5,67,1006.8,0,1
91,01/01/18 15.10,1.5,296.7,28.4,67.4,1007,0,1.1
92,01/01/18 15.20,1.1,306.45,28.35,67.8,1007.1,0,1.1
93,01/01/18 15.30,0.7,316.2,28.3,68.2,1007.2,0,1.1
94,01/01/18 15.40,1.8,278.1,28.3,68.2,1007.1,0,1.5
95,01/01/18 15.50,1.75,276.9,28.25,68.8,1007.2,0,1.6
96,01/01/18 16.00,1.7,275.7,28.2,69.4,1007.3,0,1.7
97,01/01/18 16.10,1.95,268.65,28.1,69.8,1007.05,0,1.1
98,01/01/18 16.20,2.2,261.6,28,70.2,1006.8,0,0.5
99,01/01/18 16.30,1.6,277.1,28,69.8,1006.8,0,0.6
100,01/01/18 16.40,1,292.6,28,69.4,1006.8,0,0.7
101,01/01/18 16.50,1.4,268,28,68.7,1006.8,0,1.4
102,01/01/18 17.00,1.5,263.3,28.1,68.8,1006.7,0,2.3
103,01/01/18 17.10,1.45,287.7,28.05,69.8,1006.55,0,2
